MIDDLE ENGLISH MEDICAL VOCABULARY DATABASE
======================================================================

Total terms: 29107


HERBS:
----------------------------------------------------------------------
serue                        2,215 occurrences (partial_match)
deserueden                       5 occurrences (partial_match)
therue                           5 occurrences (partial_match)
tisede                           5 occurrences (partial_match)
crueli                           5 occurrences (partial_match)
sedech                           5 occurrences (partial_match)
flouride                         5 occurrences (partial_match)
herberlesse                      5 occurrences (partial_match)
purueyinge                       5 occurrences (partial_match)
melchisedek                      5 occurrences (partial_match)
distrued                         5 occurrences (partial_match)
korue                            5 occurrences (partial_match)
reiseden                         5 occurrences (partial_match)
storue                           5 occurrences (partial_match)
leafa                            5 occurrences (partial_match)
broother                         5 occurrences (partial_match)
morwenynges                      5 occurrences (partial_match)
herburgage                       5 occurrences (partial_match)
esede                            5 occurrences (partial_match)
herbegage                        5 occurrences (partial_match)
herbergh                         5 occurrences (partial_match)
druerie                          5 occurrences (partial_match)
kerueing                         5 occurrences (partial_match)
proteccyon                       5 occurrences (partial_match)
sedentes                         5 occurrences (partial_match)
lefede                           5 occurrences (partial_match)
felefolde                        5 occurrences (partial_match)
porueid                          5 occurrences (partial_match)
nerue                            5 occurrences (partial_match)
protected                        5 occurrences (partial_match)
appleford                        5 occurrences (partial_match)
melchysedek                      5 occurrences (partial_match)
messagetes                       5 occurrences (partial_match)
acorsede                         5 occurrences (partial_match)
byleft                           5 occurrences (partial_match)
aduertisede                      5 occurrences (partial_match)
posede                           5 occurrences (partial_match)
creasede                         5 occurrences (partial_match)
norwei                           5 occurrences (partial_match)
cussede                          5 occurrences (partial_match)
vndeserued                       5 occurrences (partial_match)
staleworthe                      5 occurrences (partial_match)
surplusage                       5 occurrences (partial_match)
merueilousliche                  5 occurrences (partial_match)
herbergery                       5 occurrences (partial_match)
purueour                         5 occurrences (partial_match)
helefu                           5 occurrences (partial_match)
lefu                             5 occurrences (partial_match)
herbar                           5 occurrences (partial_match)
worthit                          5 occurrences (partial_match)
kerues                           5 occurrences (partial_match)
